 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;200203;20020322;20;20;3
SCU;200204;20020414;2;2;0
SCU;200205;-;0;0;0
SCU;200206;-;0;0;0
SCU;200207;-;0;0;0
SCU;200208;-;0;0;0
SCU;200209;-;0;0;0
SCU;200210;-;0;0;0
SCU;200211;20021118;4;4;0
SCU;200212;20021216;27;29;8
SCU;200301;20030104;9;19;14
SCU;200302;20030203;7;27;19
SCU;200303;20030302;1;12;2
SCU;200304;-;0;0;0
SCU;200305;-;0;0;0
SCU;200306;-;0;0;0
SCU;200307;-;0;0;0
SCU;200308;-;0;0;0
SCU;200309;-;0;0;0
SCU;200310;-;0;0;0
SCU;200311;20031128;8;10;1
SCU;200312;20031228;20;30;9
SCU;200401;20040109;20;54;43
SCU;200402;20040208;9;54;49
SCU;200403;20040311;8;50;27
SCU;200404;20040419;5;5;0
SCU;200405;-;0;0;0
SCU;200406;-;0;0;0
SCU;200407;-;0;0;0
SCU;200408;-;0;0;0
SCU;200409;-;0;0;0
SCU;200410;-;0;0;0
SCU;200411;20041130;2;2;0
SCU;200412;20041219;16;18;7
SCU;200501;20050121;16;28;17
SCU;200502;20050212;4;39;32
SCU;200503;20050305;1;27;13
SCU;200504;20050408;6;6;0
SCU;200505;-;0;0;0
SCU;200506;-;0;0;0
SCU;200507;-;0;0;0
SCU;200508;-;0;0;0
SCU;200509;-;0;0;0
SCU;200510;-;-;-;-
SCU;200511;-;-;-;-
SCU;200512;-;-;-;-
SCU;200601;-;-;-;-
SCU;200602;-;-;-;-
SCU;200603;-;-;-;-
SCU;200604;-;-;-;-
SCU;200605;-;0;0;0
SCU;200606;-;0;0;0
SCU;200607;-;0;0;0
SCU;200608;-;0;0;0
SCU;200609;-;0;0;0
SCU;200610;-;0;0;0
SCU;200611;20061121;4;4;0
SCU;200612;20061209;10;10;4
SCU;200701;20070102;13;17;10

stn;time;hti000yx;hns000y0;hto000y0
SCU;1997;19971212;142;7
SCU;1998;19980116;126;4
SCU;1999;19990128;453;13
SCU;2000;20000218;212;9
SCU;2001;20010222;222;7
SCU;2002;20021216;123;1
SCU;2003;20031228;120;4
SCU;2004;20040109;153;11
SCU;2005;-;-;-
SCU;2006;-;-;-
SCU;2007;20071110;158;6

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7SU;199701;-;-;40;32
SLF7SU;199702;-;-;58;38
SLF7SU;199703;-;-;40;12
SLF7SU;199704;-;-;0;0
SLF7SU;199705;-;-;8;0
SLF7SU;199706;-;-;-;-
SLF7SU;199707;-;-;-;-
SLF7SU;199708;-;-;-;-
SLF7SU;199709;-;-;-;-
SLF7SU;199710;-;-;0;0
SLF7SU;199711;-;-;5;0
SLF7SU;199712;-;-;20;8
SLF7SU;199801;-;-;39;28
SLF7SU;199802;-;-;33;15
SLF7SU;199803;-;-;6;1
SLF7SU;199804;-;-;4;0
SLF7SU;199805;-;-;0;0
SLF7SU;199806;-;-;-;-
SLF7SU;199807;-;-;-;-
SLF7SU;199808;-;-;-;-
SLF7SU;199809;-;-;-;-
SLF7SU;199810;-;-;0;0
SLF7SU;199811;-;-;9;2
SLF7SU;199812;-;-;14;8
SLF7SU;199901;-;-;75;19
SLF7SU;199902;-;-;116;80
SLF7SU;199903;-;-;78;49
SLF7SU;199904;-;-;35;4
SLF7SU;199905;-;-;0;0
SLF7SU;199906;-;-;-;-
SLF7SU;199907;-;-;-;-
SLF7SU;199908;-;-;-;-
SLF7SU;199909;-;-;-;-
