 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
SLF7SU;201005;-;0;0;0
SLF7SU;201006;-;-;-;-
SLF7SU;201007;-;-;-;-
SLF7SU;201008;-;-;-;-
SLF7SU;201009;-;-;-;-
SLF7SU;201010;20101025;5;10;1
SLF7SU;201011;20101116;9;13;5
SLF7SU;201012;20101228;6;23;16
SLF7SU;201101;20110112;4;13;8
SLF7SU;201102;20110227;2;2;0
SLF7SU;201103;-;0;0;0
SLF7SU;201104;-;0;0;0
SLF7SU;201105;-;0;0;0
SLF7SU;201106;-;-;-;-
SLF7SU;201107;-;-;-;-
SLF7SU;201108;-;-;-;-
SLF7SU;201109;-;-;-;-
SLF7SU;201110;20111008;35;35;1
SLF7SU;201111;-;0;0;0
SLF7SU;201112;20111231;18;43;21
SLF7SU;201201;20120120;40;112;84
SLF7SU;201202;20120215;10;87;73
SLF7SU;201203;20120318;10;39;19
SLF7SU;201204;20120411;7;7;0
SLF7SU;201205;-;0;0;0
SLF7SU;201206;-;-;-;-
SLF7SU;201207;-;-;-;-
SLF7SU;201208;-;-;-;-
SLF7SU;201209;-;-;-;-
SLF7SU;201210;20121028;5;10;1
SLF7SU;201211;20121128;5;5;0
SLF7SU;201212;20121227;41;77;35
SLF7SU;201301;20130121;10;55;41

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5SE;200703;-;-;28;12
SLF5SE;200704;20070403;11;-;-
SLF5SE;200705;20070514;3;3;0
SLF5SE;200706;-;-;-;-
SLF5SE;200707;-;-;-;-
SLF5SE;200708;-;-;-;-
SLF5SE;200709;-;-;-;-
SLF5SE;200710;20071021;5;5;0
SLF5SE;200711;20071114;24;48;18
SLF5SE;200712;-;-;-;-
SLF5SE;200801;20080112;38;79;53
SLF5SE;200802;20080206;14;62;46
SLF5SE;200803;20080324;25;30;11
SLF5SE;200804;20080403;26;35;5
SLF5SE;200805;-;0;7;0
SLF5SE;200806;-;-;-;-
SLF5SE;200807;-;-;-;-
SLF5SE;200808;-;-;-;-
SLF5SE;200809;-;-;-;-
SLF5SE;200810;20081029;52;70;5
SLF5SE;200811;20081121;32;57;21
SLF5SE;200812;20081211;30;91;68
SLF5SE;200901;20090120;30;98;71
SLF5SE;200902;20090206;45;143;108
SLF5SE;200903;20090310;30;135;110
SLF5SE;200904;20090428;12;96;38
SLF5SE;200905;-;0;0;0
SLF5SE;200906;-;-;-;-
SLF5SE;200907;-;-;-;-
SLF5SE;200908;-;-;-;-
SLF5SE;200909;-;-;-;-
SLF5SE;200910;20091017;12;15;1
SLF5SE;200911;20091130;82;24;2
SLF5SE;200912;20091211;16;95;56
SLF5SE;201001;20100108;13;66;50
SLF5SE;201002;20100210;13;68;56
SLF5SE;201003;20100306;17;59;36
SLF5SE;201004;20100404;5;5;1
SLF5SE;201005;20100502;20;20;1
SLF5SE;201006;-;-;-;-
SLF5SE;201007;-;-;-;-
SLF5SE;201008;-;-;-;-
SLF5SE;201009;-;-;-;-
SLF5SE;201010;20101024;22;22;3
SLF5SE;201011;20101107;15;20;10
SLF5SE;201012;20101225;16;33;21
SLF5SE;201101;20110125;8;31;22
SLF5SE;201102;20110224;12;29;19
SLF5SE;201103;20110318;2;26;6
SLF5SE;201104;20110412;7;7;0
SLF5SE;201105;-;0;0;0
SLF5SE;201106;-;-;-;-
SLF5SE;201107;-;-;-;-
SLF5SE;201108;-;-;-;-
SLF5SE;201109;-;-;-;-
SLF5SE;201110;20111008;25;43;3
SLF5SE;201111;-;0;0;0
SLF5SE;201112;20111216;42;102;38
SLF5SE;201201;20120120;45;155;118
SLF5SE;201202;20120215;33;145;122
SLF5SE;201203;20120318;45;113;83
SLF5SE;201204;20120423;22;38;8
SLF5SE;201205;20120515;8;12;1
SLF5SE;201206;-;-;-;-
SLF5SE;201207;-;-;-;-
SLF5SE;201208;-;-;-;-
SLF5SE;201209;-;-;-;-
SLF5SE;201210;20121015;20;20;2
SLF5SE;201211;20121128;31;38;3
SLF5SE;201212;20121210;32;75;55
SLF5SE;201301;20130111;20;75;60

stn;time;hto000mx;hto000m0
SED;201201;184;134

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SDO;200902;20090206;60;180;148
SDO;200903;20090325;15;144;121
SDO;200904;20090428;11;98;27
SDO;200905;-;0;0;0
SDO;200906;-;0;0;0
SDO;200907;20090717;2;2;0
SDO;200908;-;0;0;0
SDO;200909;-;0;0;0
SDO;200910;20091016;2;2;0
SDO;200911;20091130;27;17;2
SDO;200912;20091203;18;57;42
SDO;201001;-;-;-;-
SDO;201002;20100205;7;66;62
SDO;201003;20100326;8;60;47
SDO;201004;20100401;26;39;8
SDO;201005;-;-;-;-
SDO;201006;-;0;0;0
SDO;201007;-;0;0;0
SDO;201008;-;0;0;0
SDO;201009;-;0;0;0
SDO;201010;-;-;-;4
SDO;201011;20101108;24;47;17
SDO;201012;20101225;5;45;32
SDO;201101;20110125;2;32;23
SDO;201102;20110215;9;39;26
SDO;201103;-;0;32;18
SDO;201104;-;-;-;0
SDO;201105;-;-;-;0
SDO;201106;-;-;-;-
SDO;201107;-;-;-;-
SDO;201108;-;-;-;-
SDO;201109;-;-;-;-
SDO;201110;-;-;-;-
SDO;201111;-;0;0;0
SDO;201112;20111216;22;63;23
SDO;201201;20120120;43;125;94
SDO;201202;20120219;5;110;100
SDO;201203;20120318;23;80;57
SDO;201204;20120423;13;13;2
SDO;201205;-;-;-;0
SDO;201206;20120603;1;1;0
SDO;201207;-;0;0;0
SDO;201208;-;0;0;0
SDO;201209;-;-;-;0
SDO;201210;20121015;18;-;2
SDO;201211;20121128;20;20;2
SDO;201212;20121227;17;39;25
SDO;201301;20130120;25;78;41

stn;time;hti000yx;hto000y0
SDO;2012;20120120;24
SDO;2013;20130419;15

stn;time;hti000mx;hns000mx;hto000m0;hto000mx
SAN;201111;-;0;0;0
SAN;201112;20111220;58;71;148
SAN;201201;20120105;69;161;193
SAN;201202;20120215;51;177;219
SAN;201203;20120318;20;120;154
SAN;201204;20120421;11;51;78
SAN;201205;20120516;13;1;19
SAN;201206;-;0;0;0
SAN;201207;-;0;0;0
SAN;201208;-;0;0;0
SAN;201209;-;0;0;0
SAN;201210;20121027;12;2;-
SAN;201211;20121128;13;3;17
SAN;201212;20121210;42;64;93
