 

stn;time;hto000mx;hto000m0
SLF5SE;201809;-;-;-;-
SLF5SE;201810;20181027;60;60;7
SLF5SE;201811;20181126;5;38;6
SLF5SE;201812;20181209;36;50;23
SLF5SE;201901;20190113;32;95;66
SLF5SE;201902;20190210;18;85;68
SLF5SE;201903;20190314;34;74;42
SLF5SE;201904;20190404;45;87;17
SLF5SE;201905;20190505;6;9;1
SLF5SE;201906;-;-;-;-
SLF5SE;201907;-;-;-;-
SLF5SE;201908;-;-;-;-
SLF5SE;201909;-;-;-;-
SLF5SE;201910;-;0;0;0
SLF5SE;201911;20191117;30;62;19
SLF5SE;201912;20191209;30;55;27
SLF5SE;202001;20200129;28;75;39
SLF5SE;202002;20200204;33;70;49
SLF5SE;202003;20200302;13;63;34
SLF5SE;202004;-;0;0;0
SLF5SE;202005;-;0;0;0
SLF5SE;202006;-;-;-;-
SLF5SE;202007;-;-;-;-
SLF5SE;202008;-;-;-;-
SLF5SE;202009;-;-;-;-
SLF5SE;202010;-;-;-;-
SLF5SE;202011;20201119;8;8;0
SLF5SE;202012;20201204;50;93;52
SLF5SE;202101;20210127;62;162;87
SLF5SE;202102;20210201;12;115;86
SLF5SE;202103;20210315;40;120;74
SLF5SE;202104;-;-;-;18

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SDO;201801;20180121;38;156;93
SDO;201802;20180215;11;110;103
SDO;201803;20180317;15;108;86
SDO;201804;20180412;5;61;14
SDO;201805;-;0;0;0
SDO;201806;-;0;0;0
SDO;201807;-;0;0;0
SDO;201808;-;0;0;0
SDO;201809;-;-;-;0
SDO;201810;20181027;60;60;5
SDO;201811;20181119;6;15;3
SDO;201812;20181209;38;63;30
SDO;201901;20190113;52;115;72
SDO;201902;20190201;36;120;96
SDO;201903;20190314;25;83;54
SDO;201904;20190404;20;40;8
SDO;201905;-;-;-;0
SDO;201906;-;0;0;0
SDO;201907;-;0;0;0
SDO;201908;-;0;0;0
SDO;201909;-;0;0;0
SDO;201910;-;-;-;0
SDO;201911;20191117;30;71;27
SDO;201912;20191223;14;57;35
SDO;202001;20200128;17;60;40
SDO;202002;20200204;17;59;47
SDO;202003;20200302;25;67;30
SDO;202004;20200428;1;1;0
SDO;202005;-;0;0;0
SDO;202006;20200607;10;10;0
SDO;202007;-;0;0;0
SDO;202008;-;0;0;0
SDO;202009;20200925;11;11;1
SDO;202010;20201026;36;36;4
SDO;202011;-;0;14;1
SDO;202012;20201205;61;121;73
SDO;202101;20210127;29;140;104
SDO;202102;20210207;17;126;111
SDO;202103;20210314;14;82;65
SDO;202104;-;-;-;5

stn;time;hti000yx;hto000y0;hns000y0
SDO;2018;20181027;28;-
SDO;2019;20190113;24;-
SDO;2020;20201205;16;371

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MZ;201801;20180120;32;106;78
SLF7MZ;201802;20180201;19;100;83
SLF7MZ;201803;20180330;19;90;83
SLF7MZ;201804;20180411;16;82;41
SLF7MZ;201805;-;0;0;0
SLF7MZ;201806;-;-;-;-
SLF7MZ;201807;-;-;-;-
SLF7MZ;201808;-;-;-;-
SLF7MZ;201809;-;-;-;-
SLF7MZ;201810;20181027;42;42;4
SLF7MZ;201811;20181123;9;26;8
SLF7MZ;201812;20181209;35;49;25
SLF7MZ;201901;20190113;27;60;39
SLF7MZ;201902;20190201;56;102;64
SLF7MZ;201903;20190314;20;65;46
SLF7MZ;201904;20190404;63;85;22
SLF7MZ;201905;20190511;5;4;0
SLF7MZ;201906;-;-;-;-
SLF7MZ;201907;-;-;-;-
SLF7MZ;201908;-;-;-;-
SLF7MZ;201909;-;-;-;-
SLF7MZ;201910;-;0;0;0
SLF7MZ;201911;20191115;41;76;35
SLF7MZ;201912;20191220;17;50;41
SLF7MZ;202001;20200128;5;46;40
SLF7MZ;202002;20200204;18;45;37
SLF7MZ;202003;20200302;36;71;42
SLF7MZ;202004;20200430;1;24;3
SLF7MZ;202005;-;0;1;0
SLF7MZ;202006;-;-;-;-
SLF7MZ;202007;-;-;-;-
SLF7MZ;202008;-;-;-;-
SLF7MZ;202009;-;-;-;-
SLF7MZ;202010;-;-;-;-
SLF7MZ;202011;20201115;3;3;0
SLF7MZ;202012;20201204;47;96;54
SLF7MZ;202101;20210127;37;118;77
SLF7MZ;202102;20210207;28;121;94
SLF7MZ;202103;20210314;5;79;73
SLF7MZ;202104;-;-;-;36

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SMM;201801;20180120;24;89;61
SMM;201802;20180201;12;81;69
SMM;201803;20180315;13;69;55
SMM;201804;-;0;28;5
SMM;201805;-;0;0;0
SMM;201806;-;0;0;0
SMM;201807;-;0;0;0
SMM;201808;-;0;0;0
SMM;201809;-;0;0;0
SMM;201810;-;0;0;0
SMM;201811;20181123;13;16;3
SMM;201812;20181209;12;16;6
SMM;201901;20190113;7;15;8
SMM;201902;20190201;56;69;39
SMM;201903;20190317;9;17;8
SMM;201904;20190404;37;37;3
SMM;201905;-;0;0;0
SMM;201906;-;0;0;0
SMM;201907;-;0;0;0
SMM;201908;-;0;0;0
SMM;201909;-;0;0;0
SMM;201910;-;0;0;0
SMM;201911;20191115;32;71;29
SMM;201912;20191201;10;38;28
SMM;202001;20200128;5;29;24
SMM;202002;20200227;8;27;10
SMM;202003;20200302;26;30;7
SMM;202004;-;0;0;0
SMM;202005;-;0;0;0
SMM;202006;-;0;0;0
